BindingDB_id,Smiles,bioactivity_class,IC50_nM,Data Set
582002,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(NNC(OCCOCCOCCOCCNC(CCCCCN(C(C=C2)=O)C2=O)=O)=O)=O)Cc(cc2)ccc2O)=O)c[s]1)OCCC)C(C)C)C([C@@H]([C@H](C)CC)NC([C@H]1N(C)CCCC1)=O)=O,Active,1900,Bsite
582003,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(NNC(OCCOCCOCCOCCNC(CCCCCN(C(C=C2)=O)C2=O)=O)=O)=O)Cc(cc2)ccc2O)=O)c[s]1)OCCC)C(C)C)C([C@@H]([C@H](C)CC)NC([C@H]1N(C)CCCC1)=O)=O,Active,10,Bsite
582004,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(NNC(OCCOCCNC(OCc(cc2)ccc2NC([C@@H](CCCNC(N)=O)NC([C@@H](C(C)C)NC(CCCCCN(C(C=C2)=O)C2=O)=O)=O)=O)=O)=O)=O)Cc2ccccc2)=O)c[s]1)OCCC)C(C)C)C([C@@H]([C@H](C)CC)NC([C@H]1N(C)CCCC1)=O)=O,Active,6000,Bsite
582005,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(NNC(OCCOCCNC(OCc(cc2)ccc2NC([C@@H](CCCNC(N)=O)NC([C@@H](C(C)C)NC(CCCCCN(C(C=C2)=O)C2=O)=O)=O)=O)=O)=O)=O)Cc2ccccc2)=O)c[s]1)OCCC)C(C)C)C([C@@H]([C@H](C)CC)NC([C@H]1N(C)CCCC1)=O)=O,Active,98,Bsite
582006,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(NNC(OCCOCCOCCOCCNC(OCc(cc2)ccc2NC([C@@H](CCCNC(N)=O)NC([C@@H](C(C)C)NC(CCCCCN(C(C=C2)=O)C2=O)=O)=O)=O)=O)=O)=O)Cc(cc2)ccc2O)=O)c[s]1)OCCC)C(C)C)C([C@@H]([C@H](C)CC)NC([C@H]1N(C)CCCC1)=O)=O,Active,1900,Bsite
582007,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(NNC(OCCOCCOCCOCCNC(OCc(cc2)ccc2NC([C@@H](CCCNC(N)=O)NC([C@@H](C(C)C)NC(CCCCCN(C(C=C2)=O)C2=O)=O)=O)=O)=O)=O)=O)Cc(cc2)ccc2O)=O)c[s]1)OCCC)C(C)C)C([C@@H]([C@H](C)CC)NC([C@H]1N(C)CCCC1)=O)=O,Active,98,Bsite
1079748,CC(C)(C)[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,Active,32000,Bsite
1079755,CC(C)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,17000,Bsite
1079762,N[C@H](C1(CC(C2)C3)CC3CC2C1)C(N1[C@@H](B(O)O)CCC1)=O,Active,31000,Bsite
1079769,N[C@H](C(CC(C1)C2)(CC1C1)CC21Cl)C(N1[C@@H](B(O)O)CCC1)=O,Active,20000,Bsite
1079776,CC1(CCCCC1)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,76000,Bsite
1079783,CC[C@H](C)[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,Active,16000,Bsite
1079790,CC[C@H](C)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,26000,Bsite
1079797,N[C@H](C1CCCCC1)C(N1[C@@H](B(O)O)CCC1)=O,Active,10000,Bsite
1079804,CC1(CCCC1)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,88000,Bsite
1079811,CC(C)([C@H](C(N1[C@@H](B(O)O)CCC1)=O)N)F,Active,75000,Bsite
1079818,C[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,13000,Bsite
1079825,CN(CB(O)O)C(C(CCC(O)=O)N)=O,Inactive,11000000,Bsite
1079832,C[C@H](C(N1[C@@H](B(O)O)CCC1)=S)N,Active,130000,Bsite
1079838,CC(C)[C@H](C(N1[C@@H](B(O)O)CCC1)=S)N,Active,100000,Bsite
1079845,CC1(C)[C@H](C(N2[C@@H](B(O)O)CCC2)=O)NC1,Active,58000,Bsite
1079852,CC[C@@H](C)[C@@H](C(N(C1)Cc2c1ccc(F)c2)=O)N,Inactive,10000001,Bsite
1079865,C[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,43000,Bsite
1079877,CC[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,Active,42000,Bsite
1079884,N[C@H](C(CC(C1)C2)(CC1C1)CC21O)C(N1[C@@H](B(O)O)CCC1)=O,Active,9000,Bsite
1079891,CC[C@H](C)[C@H](C(N(C1)[C@@H](B(O)O)c2c1cccc2)=O)N,Inactive,100000001,Bsite
1079896,CC[C@@H](C)[C@H](C(N(C1)[C@@H](B(O)O)c2c1cccc2)=O)N,Active,640000,Bsite
1079911,NC(C1CCCCC1)C(N(C1)Cc2c1ccc(F)c2)=O,Inactive,100000001,Bsite
1079917,NC(CC(N)=O)C(N(C1)Cc2c1ccc(F)c2)=O,Inactive,100000001,Bsite
1079923,CN(C)C(CC(C(N(C1)Cc2c1ccc(F)c2)=O)N)=O,Inactive,100000001,Bsite
1079929,CC1(CCCCC1)C(C(N(C1)Cc2c1ccc(F)c2)=O)N,Inactive,100000001,Bsite
1079936,CC(C)[C@H](C(N(C1)[C@@H](B(O)O)c2c1ccc(F)c2)=O)N,Inactive,100000001,Bsite
1079942,CC(C)(C)[C@H](C(N(C1)[C@@H](B(O)O)c2c1ccc(F)c2)=O)N,Inactive,100000001,Bsite
1079949,O=C(C1NCCCC1)N(C1)Cc2c1ccc(F)c2,Inactive,100000001,Bsite
1079955,NCCCCC(C(N(C1)Cc2c1ccc(F)c2)=O)N,Inactive,100000001,Bsite
1079961,NC(C1CCCC1)C(N(C1)Cc2c1ccc(F)c2)=O,Inactive,100000001,Bsite
1079968,NC1(CCNCC1)C(N(C1)Cc2c1ccc(F)c2)=O,Inactive,41070000,Bsite
1079974,NC1(CCNCC1)C(N(C1)Cc2c1cccc2)=O,Inactive,100000001,Bsite
1079980,NC1(CCNCC1)C(N1CSCC1)=O,Inactive,100000001,Bsite
1079986,CC(C)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Inactive,100000001,Bsite
1079992,CC(C)[C@H](C(N(C1)[C@@H](B(O)O)C[C@@H]1O)=O)N,Inactive,13000000,Bsite
1079998,CC(C)[C@@H](C(N(C1)[C@H](B(O)O)C[C@@H]1O)=O)N,Active,75000,Bsite
1080004,CC1(C)[C@@H](C(N2[C@H](B(O)O)CCC2)=O)NCCC1,Inactive,14000000,Bsite
1080010,CC(C)[C@@H](C(N(CCC1)[C@@H]1C(CO)=O)=O)N,Inactive,100000001,Bsite
1080016,CC1(C)[C@@H](C(N2[C@H](B(O)O)CCC2)=O)NCC1,Active,32000,Bsite
1080023,CC1(CC1)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,350000,Bsite
1080030,N[C@@H](Cc1ccccc1)C(N1[C@H](B(O)O)CCC1)=O,Active,17000,Bsite
1080037,CC(C)C[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,Active,150000,Bsite
1080044,NCCCC[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,Active,82000,Bsite
1080051,OB([C@H](CCC1)N1C([C@H]1NCCC1)=O)O,Active,29000,Bsite
1080058,N[C@H](CCC(O)=O)C(N1[C@@H](B(O)O)CCC1)=O,Active,4100,Bsite
1080065,CC(C)(C)[C@@H](C(N(CCC1)[C@@H]1C#N)=O)N,Active,700000,Bsite
1080072,N[C@H](C(CC(C1)C2)(CC1C1)CC21F)C(N1[C@@H](B(O)O)CCC1)=O,Active,33000,Bsite
1225329,CC(C)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,5500,Bsite
1225336,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccccc12)=O)=O,Active,10001,Bsite
1225343,N#CC(CC(C1)(F)F)N1C(CNC(c1c(cc(cc2)-c(cc3)ccc3Cl)c2ncc1)=O)=O,Active,10001,Bsite
1225349,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccccc12)=O)=O,Active,10001,Bsite
1225353,CC(C)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,5500,Bsite
1225357,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1ccccc1)=O)=O,Active,10001,Bsite
1225361,N#CC(CC(C1)(F)F)N1C(CNC(c1c(cc(cc2)-c(cc3)ccc3Cl)c2ncc1)=O)=O,Active,10001,Bsite
1225365,N#CC(CC(C1)(F)F)N1C(CNC(c1c(cc(cc2)-c3ccc(cc(cc4)Cl)c4c3)c2ncc1)=O)=O,Active,10001,Bsite
1225369,Cc1n[o]c(C)c1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite
1225373,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1cnccc1)=O)=O,Active,10001,Bsite
1225377,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1ccncc1)=O)=O,Active,10001,Bsite
1225381,CC(C)(C)c(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite
1225385,C[n](cc1)c(cc2)c1cc2-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite
1225389,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2C1=CC2=CC=NC2C=C1)=O)=O,Active,10001,Bsite
1225393,C[n]1ncc(-c2ccc3nccc(C(NCC(N(CC(C4)(F)F)C4C#N)=O)=O)c3c2)c1,Active,10001,Bsite
1225397,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1c[n](C2CC2)nc1)=O)=O,Active,10001,Bsite
1225401,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc2c1NCC2)=O)=O,Active,10001,Bsite
1225405,CC(C)C/C=C/c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite
1225409,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3ccccc3)cc12)=O)=O,Active,10001,Bsite
1225413,CN(C)c1ccc(cc(cc2)-c3ccc4nccc(C(NCC(N(CC(C5)(F)F)C5C#N)=O)=O)c4c3)c2c1,Active,10001,Bsite
1225417,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc(CC2)c1NC2=O)=O)=O,Active,10001,Bsite
1225421,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(C(C=C3)C=NC3=O)cc12)=O)=O,Active,10001,Bsite
1225425,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc(CCN2)c1C2=O)=O)=O,Active,10001,Bsite
1225429,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3ccncc3)cc12)=O)=O,Active,10001,Bsite
1225433,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3cnccc3)cc12)=O)=O,Active,10001,Bsite
1225437,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3ncccc3)cc12)=O)=O,Active,10001,Bsite
1225441,COC(/C=C/c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1)=O,Active,10001,Bsite
1225445,Cc(cc1)ncc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite
1225447,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc2c1OCCO2)=O)=O,Active,10001,Bsite
1225449,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1cnc(C2CC2)cc1)=O)=O,Active,10001,Bsite
1225463,COc(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite
1225467,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)ccc1OC(F)(F)F)=O)=O,Active,10001,Bsite
1225471,CN1CCN(Cc(cc2)ccc2-c2ccc3nccc(C(NCC(N(CC(C4)(F)F)C4C#N)=O)=O)c3c2)CC1,Active,10001,Bsite
1225475,COc(cc1)ncc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite
1225477,CC(C)Oc(cc1)ncc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite
