ID,SMILES,DATASET,MOL,SCAFFOLD,SCA_MOL
222010,OB(O)C1CCCN1C(=O)CNC(=O)CCCCCN(CC=1NC=CCC=1)CC1=CCC=CN1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7530>,O=C(CCCCCN(CC1=CCC=CN1)CC1=CCC=CN1)NCC(=O)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4040>
222011,OB(O)C1CCCN1C(=O)CNC(=O)CCCCCN(CC(=O)O)CC1=CCC=CN1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f74c0>,O=C(CCCCCNCC1=CCC=CN1)NCC(=O)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d40b0>
222012,OB(O)C1CCCN1C(=O)CNC(=O)CCCCCN(CC1NC=CN1C)CC1NC=CN1C,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7450>,O=C(CCCCCN(CC1NC=CN1)CC1NC=CN1)NCC(=O)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4120>
581997,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(OC)=O)Cc(cc2)ccc2O)=O)c[s]1)OCCC)C(C)C)C(C([C@H](C)CC)NC([C@H](CCCC1)N1C(OCc(cc1)ccc1NC([C@@H](CCCNC(N)=O)NC([C@@H](C(C)C)NC(CCCCCN(C(C=C1)=O)C1=O)=O)=O)=O)=O)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f73e0>,O=C(CCCCCN1C(=O)C=CC1=O)NCC(=O)NCC(=O)Nc1ccc(COC(=O)N2CCCC[C@H]2C(=O)NCC(=O)NCCCc2nc(C(=O)NCCc3ccccc3)cs2)cc1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4190>
581999,CCCN([C@H](C[C@H](c1nc(C(N[C@H](C[C@H](C)C(O)=O)Cc2ccccc2)=O)c[s]1)OCCC)C(C)C)C([C@H]([C@@H](C)CC)NC(C([C@@H](C)CC)N(C)C(OCc(cc1)ccc1NC([C@H](CCCNC(N)=O)NC([C@H](C(C)C)NC(CCCCCN(C(C=C1)=O)C1=O)=O)=O)=O)=O)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7370>,O=C(CCCCCN1C(=O)C=CC1=O)NCC(=O)NCC(=O)Nc1ccc(COC(=O)NCC(=O)NCC(=O)NCCCc2nc(C(=O)NCCc3ccccc3)cs2)cc1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4200>
582000,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(NNC(OCc(cc2)ccc2NC([C@H](CCCNC(N)=O)NC([C@H](C(C)C)NC(CCCCCN(C(C=C2)=O)C2=O)=O)=O)=O)=O)=O)Cc(cc2)ccc2O)=O)c[s]1)OCCC)C(C)C)C([C@@H]([C@H](C)CC)NC([C@H]1N(C)CCCC1)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7300>,O=C(CCCCCN1C(=O)C=CC1=O)NCC(=O)NCC(=O)Nc1ccc(COC(=O)NNC(=O)CC[C@@H](Cc2ccccc2)NC(=O)c2csc(CCCNC(=O)CNC(=O)[C@@H]3CCCCN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4270>
582002,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(NNC(OCCOCCOCCOCCNC(CCCCCN(C(C=C2)=O)C2=O)=O)=O)=O)Cc(cc2)ccc2O)=O)c[s]1)OCCC)C(C)C)C([C@@H]([C@H](C)CC)NC([C@H]1N(C)CCCC1)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7290>,O=C(CCCCCN1C(=O)C=CC1=O)NCCOCCOCCOCCOC(=O)NNC(=O)CC[C@@H](Cc1ccccc1)NC(=O)c1csc(CCCNC(=O)CNC(=O)[C@@H]2CCCCN2)n1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d42e0>
582004,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(NNC(OCCOCCNC(OCc(cc2)ccc2NC([C@@H](CCCNC(N)=O)NC([C@@H](C(C)C)NC(CCCCCN(C(C=C2)=O)C2=O)=O)=O)=O)=O)=O)=O)Cc2ccccc2)=O)c[s]1)OCCC)C(C)C)C([C@@H]([C@H](C)CC)NC([C@H]1N(C)CCCC1)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7220>,O=C(CCCCCN1C(=O)C=CC1=O)NCC(=O)NCC(=O)Nc1ccc(COC(=O)NCCOCCOC(=O)NNC(=O)CC[C@@H](Cc2ccccc2)NC(=O)c2csc(CCCNC(=O)CNC(=O)[C@@H]3CCCCN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4350>
582006,CCCN([C@@H](C[C@@H](c1nc(C(N[C@@H](C[C@@H](C)C(NNC(OCCOCCOCCOCCNC(OCc(cc2)ccc2NC([C@@H](CCCNC(N)=O)NC([C@@H](C(C)C)NC(CCCCCN(C(C=C2)=O)C2=O)=O)=O)=O)=O)=O)=O)Cc(cc2)ccc2O)=O)c[s]1)OCCC)C(C)C)C([C@@H]([C@H](C)CC)NC([C@H]1N(C)CCCC1)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f71b0>,O=C(CCCCCN1C(=O)C=CC1=O)NCC(=O)NCC(=O)Nc1ccc(COC(=O)NCCOCCOCCOCCOC(=O)NNC(=O)CC[C@@H](Cc2ccccc2)NC(=O)c2csc(CCCNC(=O)CNC(=O)[C@@H]3CCCCN3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d43c0>
1079748,CC(C)(C)[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7140>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4430>
1079762,N[C@H](C1(CC(C2)C3)CC3CC2C1)C(N1[C@@H](B(O)O)CCC1)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f70d0>,O=C(CC12CC3CC(CC(C3)C1)C2)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d44a0>
1079769,N[C@H](C(CC(C1)C2)(CC1C1)CC21Cl)C(N1[C@@H](B(O)O)CCC1)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f7060>,O=C(CC12CC3CC(CC(C3)C1)C2)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4510>
1079776,CC1(CCCCC1)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6ff0>,O=C(CC1CCCCC1)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4580>
1079783,CC[C@H](C)[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6f80>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d45f0>
1079790,CC[C@H](C)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6f10>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4660>
1079797,N[C@H](C1CCCCC1)C(N1[C@@H](B(O)O)CCC1)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6ea0>,O=C(CC1CCCCC1)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d46d0>
1079804,CC1(CCCC1)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6e30>,O=C(CC1CCCC1)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4740>
1079811,CC(C)([C@H](C(N1[C@@H](B(O)O)CCC1)=O)N)F,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6dc0>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d47b0>
1079818,C[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6d50>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4820>
1079832,C[C@H](C(N1[C@@H](B(O)O)CCC1)=S)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6ce0>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4890>
1079838,CC(C)[C@H](C(N1[C@@H](B(O)O)CCC1)=S)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6c70>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4900>
1079845,CC1(C)[C@H](C(N2[C@@H](B(O)O)CCC2)=O)NC1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6c00>,O=C([C@H]1CCN1)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4970>
1079877,CC[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6b90>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d49e0>
1079884,N[C@H](C(CC(C1)C2)(CC1C1)CC21O)C(N1[C@@H](B(O)O)CCC1)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6b20>,O=C(CC12CC3CC(CC(C3)C1)C2)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4a50>
1079896,CC[C@@H](C)[C@H](C(N(C1)[C@@H](B(O)O)c2c1cccc2)=O)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6ab0>,c1ccc2c(c1)CNC2,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4ac0>
1079998,CC(C)[C@@H](C(N(C1)[C@H](B(O)O)C[C@@H]1O)=O)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6a40>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4b30>
