BindingDB_id,SMILES,bioactivity_class,IC50_nM,Data Set,Smiles standarization,Patente
1080072,N[C@H](C(CC(C1)C2)(CC1C1)CC21F)C(N1[C@@H](B(O)O)CCC1)=O,Active,33000,Bsite,Nope,Si
1225336,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccccc12)=O)=O,Active,10001,Bsite,Nope,Si
1225343,N#CC(CC(C1)(F)F)N1C(CNC(c1c(cc(cc2)-c(cc3)ccc3Cl)c2ncc1)=O)=O,Active,10001,Bsite,Nope,Si
1225357,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1ccccc1)=O)=O,Active,10001,Bsite,Nope,Si
1225365,N#CC(CC(C1)(F)F)N1C(CNC(c1c(cc(cc2)-c3ccc(cc(cc4)Cl)c4c3)c2ncc1)=O)=O,Active,10001,Bsite,Nope,Si
1225369,Cc1n[o]c(C)c1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225373,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1cnccc1)=O)=O,Active,10001,Bsite,Nope,Si
1225377,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1ccncc1)=O)=O,Active,10001,Bsite,Nope,Si
1225381,CC(C)(C)c(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225385,C[n](cc1)c(cc2)c1cc2-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225389,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2C1=CC2=CC=NC2C=C1)=O)=O,Active,10001,Bsite,Nope,Si
1225393,C[n]1ncc(-c2ccc3nccc(C(NCC(N(CC(C4)(F)F)C4C#N)=O)=O)c3c2)c1,Active,10001,Bsite,Nope,Si
1225397,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1c[n](C2CC2)nc1)=O)=O,Active,10001,Bsite,Nope,Si
1225401,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc2c1NCC2)=O)=O,Active,10001,Bsite,Nope,Si
1225405,CC(C)C/C=C/c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225409,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3ccccc3)cc12)=O)=O,Active,10001,Bsite,Nope,Si
